datetime,A,B,C,D,E,F,G
2007-01-30,426.95,180.93,348250.86,7240.6,1123.0,1424.0,8149.0
2007-01-31,590.94,185.99,345486.43,9970.0,0.0,5950.0,15052.0
2007-02-01,456.19,150.26,346164.68,7678.8,1170.0,386.0,13145.0
2007-02-02,416.93,139.54,346081.52,7014.0,0.0,356.0,11338.0
2007-02-03,1007.43,245.82,344030.68,17015.0,4746.0,4573.0,17834.0
2007-02-04,898.98,186.49,345072.0,15214.2,3391.0,4597.0,14472.0
2007-02-05,411.32,147.23,346766.85,6941.4,896.0,2564.0,7849.0
2007-02-06,318.37,142.57,347420.39,5431.6,1185.0,405.0,4517.0
2007-02-07,582.0,177.71,347255.56,9780.0,3299.0,3513.0,11986.0
2007-02-08,450.35,138.9,348188.12,7557.6,2226.0,366.0,10157.0
2007-02-09,405.05,158.07,348106.24,6807.2,0.0,3045.0,9770.0
2007-02-10,707.33,192.97,345653.03,11957.4,5071.0,2831.0,14405.0
2007-02-11,892.81,204.31,344888.85,15158.6,2430.0,4765.0,13114.0
2007-02-12,469.4,136.7,345741.84,7925.0,2227.0,399.0,11517.0
2007-02-13,353.64,134.68,347280.27,5967.0,0.0,2828.0,6256.0
2007-02-14,624.67,202.51,346140.56,10533.8,3295.0,3793.0,11579.0
2007-02-15,496.34,165.96,346563.68,8381.2,0.0,2363.0,14028.0
2007-02-16,425.63,151.69,346782.16,7267.0,1148.0,859.0,8689.0
2007-02-17,519.23,238.97,344615.09,8826.0,1765.0,2226.0,7157.0
2007-02-18,957.44,255.52,344405.96,16184.0,6107.0,8003.0,13129.0
2007-02-19,546.65,176.58,345297.0,9276.8,1634.0,2900.0,13085.0
2007-02-20,787.48,187.16,345406.24,13202.6,2058.0,5191.0,9713.0
2007-02-21,518.22,189.87,346263.79,8747.2,3527.0,2332.0,11548.0
2007-02-22,842.37,137.95,343140.65,14194.2,1409.0,4129.0,12251.0
2007-02-23,328.37,149.34,346587.79,5508.6,0.0,503.0,10786.0
2007-02-24,178.73,122.2,345402.87,3003.6,0.0,363.0,3562.0
2007-02-25,125.44,113.74,348021.43,2105.6,0.0,329.0,1660.0
2007-02-26,142.12,108.28,347433.97,2388.8,0.0,331.0,2830.0
2007-02-27,129.53,113.2,349839.75,2195.4,0.0,314.0,1924.0
2007-02-28,130.19,113.37,348709.81,2201.0,0.0,340.0,1973.0
2007-03-01,129.39,107.63,347502.82,2172.8,0.0,316.0,1980.0
2007-03-02,128.92,107.01,346451.9,2169.8,0.0,340.0,1969.0
2007-03-03,204.78,134.99,347454.84,3457.6,0.0,347.0,4597.0
2007-03-04,522.68,175.68,345642.91,8867.8,1476.0,8711.0,9408.0
2007-03-05,665.08,205.96,345644.51,11290.0,5727.0,12109.0,10026.0
2007-03-06,311.62,186.15,347022.82,5321.8,0.0,1740.0,4700.0
2007-03-07,593.8,171.2,346065.93,9986.4,1076.0,4761.0,15513.0
2007-03-08,393.03,187.4,346558.21,6717.8,2180.0,3385.0,6655.0
2007-03-09,318.15,119.24,346879.39,5373.0,1093.0,345.0,8631.0
2007-03-10,621.18,243.53,345316.08,10572.4,4130.0,5422.0,10979.0
2007-03-11,870.16,173.37,345610.5,14575.0,4810.0,3420.0,9500.0
2007-03-12,487.67,134.42,346404.55,8249.0,1403.0,2841.0,12353.0
2007-03-13,322.54,126.72,346893.07,5480.2,1350.0,3859.0,5323.0
2007-03-14,448.34,157.52,346719.3,7585.2,3485.0,480.0,8607.0
2007-03-15,471.2,159.33,346003.91,7953.4,0.0,3263.0,11036.0
2007-03-16,425.51,130.21,344919.07,7189.0,1106.0,4604.0,5370.0
2007-03-17,507.02,127.07,343043.5,8562.4,2208.0,359.0,12275.0
2007-03-18,592.76,241.45,347108.86,10091.4,6564.0,7369.0,5856.0
2007-03-19,538.13,144.76,346315.81,9046.0,1648.0,2686.0,14118.0
2007-03-20,521.56,164.87,346774.52,8857.8,3745.0,2837.0,11255.0
2007-03-21,535.52,142.83,347020.77,8981.6,1865.0,4133.0,12335.0
2007-03-22,363.74,113.83,348139.48,6081.2,353.0,736.0,10462.0
2007-03-23,327.25,119.49,347969.49,5477.4,1127.0,777.0,8369.0
2007-03-24,742.11,191.02,345174.44,12532.8,3707.0,5797.0,16382.0
2007-03-25,834.03,235.97,345407.14,13990.4,4630.0,3600.0,9358.0
2007-03-26,354.02,160.97,347525.01,6023.6,1088.0,344.0,9096.0
2007-03-27,276.28,151.73,346466.85,4747.0,0.0,3019.0,3697.0
2007-03-28,583.47,196.52,346240.24,9870.6,1122.0,8527.0,13888.0
2007-03-29,397.6,198.7,346372.83,6734.6,1162.0,460.0,10724.0
2007-03-30,350.6,181.13,347096.49,6033.0,1094.0,468.0,8217.0
2007-03-31,877.38,231.5,344535.51,14781.2,2620.0,7707.0,17682.0
2007-04-01,696.49,202.55,345635.26,11735.2,4629.0,5401.0,19509.0
2007-04-02,490.19,174.34,346262.57,8226.2,1755.0,970.0,16641.0
2007-04-03,410.7,168.76,346327.14,6978.6,3630.0,1042.0,7637.0
2007-04-04,512.97,172.32,346077.77,8620.2,3434.0,420.0,14748.0
2007-04-05,461.02,244.54,347289.27,7907.8,1086.0,4277.0,10523.0
2007-04-06,400.28,143.21,347305.61,6751.6,0.0,5466.0,9166.0
2007-04-07,388.48,138.73,346145.17,6573.0,1127.0,3111.0,5923.0
2007-04-08,402.2,135.88,346102.82,6796.6,0.0,485.0,3545.0
2007-04-09,250.23,160.11,346392.7,4283.4,2667.0,514.0,3801.0
2007-04-10,194.34,148.94,346771.73,3380.2,209.0,742.0,2572.0
2007-04-11,221.87,192.45,347262.95,3771.0,0.0,1112.0,6421.0
2007-04-12,134.43,147.81,345968.73,2301.0,0.0,541.0,1818.0
2007-04-13,137.76,151.64,345672.7,2366.4,0.0,558.0,1988.0
2007-04-14,138.57,155.61,346050.93,2378.0,0.0,578.0,2008.0
2007-04-15,181.54,171.54,345940.83,3148.6,0.0,1026.0,2893.0
2007-04-16,238.1,186.07,346546.28,4136.4,952.0,1305.0,4656.0
2007-04-17,305.93,218.35,345881.76,5314.8,1532.0,389.0,6199.0
2007-04-18,249.56,165.22,345811.36,4313.4,1579.0,355.0,3430.0
2007-04-19,257.16,149.66,346218.97,4400.4,733.0,1605.0,5748.0
2007-04-20,205.64,145.65,345791.37,3592.6,1069.0,360.0,3499.0
2007-04-21,418.41,212.66,344467.06,7251.4,6575.0,463.0,11129.0
2007-04-22,558.43,267.19,345036.79,9631.4,4264.0,2287.0,11102.0
2007-04-23,263.64,135.64,341619.33,4700.4,1402.0,506.0,6005.0
2007-04-24,258.02,135.26,338896.69,4528.6,1125.0,527.0,6680.0
2007-04-25,316.04,164.74,338315.2,5555.6,0.0,1469.0,8812.0
2007-04-26,318.87,163.61,338093.71,5650.2,1324.0,1845.0,7163.0
2007-04-27,273.58,161.93,338711.28,4770.0,1772.0,545.0,4756.0
2007-04-28,5.68,2.86,4913.71,97.4,0.0,18.0,0.0
2007-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-30,105.21,71.72,135285.14,1865.8,1214.0,500.0,1131.0
2007-05-01,415.96,181.61,337937.33,7305.6,4005.0,995.0,8546.0
2007-05-02,250.87,160.09,339238.19,4523.8,7.0,1490.0,3754.0
2007-05-03,272.56,150.94,338594.24,4763.0,1906.0,1725.0,7836.0
2007-05-04,249.53,174.74,339422.68,4432.4,2259.0,538.0,3990.0
2007-05-05,390.76,174.1,338450.43,6820.0,2913.0,2493.0,11303.0
2007-05-06,525.53,182.34,337549.9,9229.0,3215.0,949.0,10095.0
2007-05-07,410.92,168.92,337733.24,7172.6,946.0,4935.0,9433.0
2007-05-08,447.32,181.61,338264.98,7713.2,4581.0,2011.0,8777.0
2007-05-09,416.43,183.48,338218.16,7280.8,3018.0,5631.0,9474.0
2007-05-10,176.97,168.31,339546.61,3177.8,946.0,534.0,3261.0
2007-05-11,244.79,132.1,338730.85,4359.8,926.0,491.0,6471.0
2007-05-12,360.39,209.17,338000.98,6279.2,2247.0,1075.0,10408.0
2007-05-13,408.68,220.67,339420.54,7155.6,3612.0,2414.0,8958.0
2007-05-14,366.95,298.55,339393.7,6586.8,3176.0,2417.0,5517.0
2007-05-15,226.1,111.18,339281.27,3936.0,0.0,408.0,5318.0
2007-05-16,423.24,135.89,338775.57,7303.4,2213.0,5756.0,9077.0
2007-05-17,307.95,131.19,339650.58,5358.2,1014.0,2073.0,7687.0
2007-05-18,407.88,171.26,339832.22,7022.4,3270.0,3913.0,8116.0
2007-05-19,357.36,167.86,338320.4,6219.8,4683.0,530.0,7022.0
2007-05-20,492.08,187.53,338901.29,8555.8,5420.0,1733.0,7611.0
2007-05-21,280.02,117.28,337956.35,4807.6,0.0,468.0,9060.0
2007-05-22,283.21,128.92,339092.03,4895.8,931.0,3966.0,3984.0
2007-05-23,366.23,165.88,338129.99,6332.4,956.0,3792.0,8119.0
2007-05-24,288.6,135.56,339186.33,4985.4,955.0,4116.0,4746.0
2007-05-25,403.56,174.59,337603.97,7003.4,8060.0,586.0,6539.0
2007-05-26,378.06,174.24,338500.64,6570.4,2373.0,2754.0,8628.0
2007-05-27,538.45,219.89,338268.15,9369.4,4366.0,5534.0,10444.0
2007-05-28,409.37,151.1,338265.47,7087.6,4554.0,473.0,9586.0
2007-05-29,265.34,113.24,339399.86,4618.4,0.0,1907.0,4332.0
2007-05-30,402.47,147.06,338157.21,6953.0,2250.0,5948.0,7804.0
2007-05-31,234.64,129.59,338539.0,4020.2,935.0,477.0,3552.0
2007-06-01,261.23,143.18,338630.26,4512.2,0.0,483.0,7664.0
2007-06-02,371.09,166.11,337635.4,6442.6,3971.0,1250.0,7633.0
2007-06-03,527.01,182.46,338057.82,9148.2,4985.0,7529.0,8334.0
2007-06-04,227.9,223.19,338037.22,4064.0,1585.0,836.0,4533.0
2007-06-05,364.72,255.69,337957.58,6429.8,4484.0,1027.0,6448.0
2007-06-06,423.41,231.06,337620.53,7351.6,3329.0,829.0,11663.0
2007-06-07,246.25,172.33,337649.48,4294.6,985.0,699.0,3959.0
2007-06-08,537.01,229.73,340124.32,9285.4,2799.0,11440.0,11380.0
2007-06-09,264.95,226.66,337469.05,4565.2,852.0,596.0,6590.0
2007-06-10,335.2,239.09,346815.77,5768.2,4202.0,1924.0,5983.0
2007-06-11,198.66,194.63,346833.72,3481.8,0.0,487.0,5328.0
2007-06-12,229.69,216.42,345923.85,4116.4,1882.0,475.0,3898.0
2007-06-13,231.82,208.26,346172.55,4057.2,957.0,857.0,5216.0
2007-06-14,314.77,231.7,345380.81,5448.0,3322.0,2147.0,7054.0
2007-06-15,247.4,251.76,346268.71,4415.4,2269.0,4011.0,4547.0
2007-06-16,504.44,307.56,344882.44,8604.0,3289.0,4498.0,11108.0
2007-06-17,486.77,239.81,345915.62,8307.8,4124.0,5038.0,8734.0
2007-06-18,169.62,180.81,346717.73,2993.4,0.0,529.0,4241.0
2007-06-19,210.59,187.99,345507.19,3682.4,973.0,535.0,4357.0
2007-06-20,268.57,227.3,345824.88,4761.8,1761.0,2588.0,5106.0
2007-06-21,201.74,222.55,346427.92,3601.2,932.0,2400.0,3711.0
2007-06-22,141.57,208.53,346803.31,2602.6,0.0,951.0,3482.0
2007-06-23,119.39,193.12,346059.31,2211.4,0.0,786.0,2402.0
2007-06-24,178.66,179.36,347230.39,3179.0,0.0,791.0,3449.0
2007-06-25,268.05,197.27,346208.06,4680.0,1985.0,3621.0,4816.0
2007-06-26,236.23,182.42,345736.09,4143.0,971.0,1334.0,5231.0
2007-06-27,370.21,207.0,345252.11,6378.0,2603.0,6451.0,7270.0
2007-06-28,323.86,217.45,344770.08,5601.0,0.0,4368.0,9541.0
2007-06-29,326.05,206.19,345622.33,5673.2,4363.0,667.0,6797.0
2007-06-30,333.83,188.35,345616.72,5719.0,3049.0,792.0,8376.0
2007-07-01,256.67,172.45,345696.7,4436.2,969.0,736.0,4690.0
2007-07-02,241.76,176.92,346567.41,4216.0,1018.0,5281.0,3445.0
2007-07-03,264.98,180.34,345869.19,4652.2,467.0,3214.0,4695.0
2007-07-04,250.85,253.33,346549.87,4457.4,2329.0,2218.0,5632.0
2007-07-05,264.32,246.72,346240.0,4655.8,2922.0,770.0,3973.0
2007-07-06,267.38,219.35,346463.21,4706.8,2826.0,3563.0,4005.0
2007-07-07,339.55,214.04,345470.6,5810.2,997.0,3047.0,10177.0
2007-07-08,272.27,196.92,346088.01,4736.6,1825.0,2831.0,5277.0
2007-07-09,295.04,172.42,346489.41,5063.4,923.0,594.0,9386.0
2007-07-10,227.08,176.24,345575.6,4012.0,67.0,2227.0,4631.0
2007-07-11,180.59,153.86,347083.25,3167.2,1015.0,647.0,5284.0
2007-07-12,267.4,209.1,346701.05,4656.4,1029.0,2550.0,6419.0
2007-07-13,198.6,206.69,346830.92,3529.2,0.0,633.0,4427.0
2007-07-14,322.04,258.45,347460.31,5607.4,3775.0,1968.0,6604.0
2007-07-15,229.26,233.18,315181.48,4050.0,862.0,632.0,5585.0
2007-07-16,213.42,233.96,340570.42,3831.2,830.0,695.0,4176.0
2007-07-17,179.91,176.09,338027.41,3277.8,848.0,694.0,3335.0
2007-07-18,189.27,156.51,332767.05,3437.0,909.0,671.0,4628.0
2007-07-19,169.47,187.01,337337.08,3087.2,1068.0,703.0,3130.0
2007-07-20,277.61,223.12,339219.22,4970.4,2111.0,2418.0,4765.0
2007-07-21,265.06,236.16,337329.54,4739.8,428.0,512.0,7756.0
2007-07-22,343.94,218.25,339551.81,6082.0,7091.0,2136.0,5563.0
2007-07-23,247.75,143.77,337681.25,4429.4,1747.0,1288.0,3847.0
2007-07-24,206.32,112.81,338922.78,3673.4,0.0,1607.0,5599.0
2007-07-25,118.14,108.23,339323.11,2130.2,0.0,151.0,2333.0
2007-07-26,231.12,115.09,338318.96,4087.0,975.0,3633.0,4346.0
2007-07-27,300.63,120.46,339197.3,5217.6,1837.0,49.0,7157.0
2007-07-28,405.47,178.73,339130.42,7116.0,907.0,10265.0,6559.0
2007-07-29,80.28,118.58,339425.33,1488.2,0.0,0.0,1288.0
2007-07-30,116.7,129.49,339163.53,2112.8,0.0,0.0,2528.0
2007-07-31,203.08,145.79,338277.33,3603.6,3277.0,0.0,3575.0
2007-08-01,265.08,142.56,333478.02,4616.6,1583.0,0.0,9812.0
2007-08-02,254.85,144.95,338193.49,4445.4,482.0,0.0,6869.0
2007-08-03,265.84,125.39,337659.27,4618.4,958.0,0.0,9139.0
2007-08-04,286.25,139.23,338770.4,4971.4,552.0,398.0,7966.0
2007-08-05,196.77,151.25,338565.99,3509.0,169.0,0.0,6647.0
2007-08-06,272.43,154.43,337971.95,4776.6,1096.0,0.0,7985.0
2007-08-07,370.9,131.18,337757.59,6373.4,437.0,2168.0,9042.0
2007-08-08,281.37,119.1,337697.82,4868.0,1055.0,1111.0,9660.0
2007-08-09,267.92,109.47,337268.72,4712.2,182.0,4515.0,6646.0
2007-08-10,257.0,117.66,337663.89,4506.8,336.0,2651.0,8287.0
2007-08-11,272.91,115.77,338371.46,4731.4,1180.0,910.0,10339.0
2007-08-12,310.48,127.78,339357.39,5389.6,1123.0,1156.0,8582.0
2007-08-13,288.25,130.94,338711.86,4966.2,93.0,476.0,11101.0
2007-08-14,235.3,132.01,341390.0,4110.0,951.0,685.0,6256.0
2007-08-15,297.96,159.76,345590.51,5100.6,338.0,508.0,9787.0
2007-08-16,239.62,131.53,345222.23,4095.2,962.0,0.0,7476.0
2007-08-17,252.47,127.39,346311.43,4293.4,244.0,0.0,7769.0
2007-08-18,86.99,119.24,347442.67,1553.6,0.0,0.0,1830.0
2007-08-19,355.57,160.02,345533.28,6137.2,1025.0,8912.0,5989.0
2007-08-20,334.71,155.88,347473.0,5707.2,1032.0,6965.0,7383.0
2007-08-21,160.64,157.31,346425.2,2824.0,0.0,38.0,3296.0
2007-08-22,302.45,154.29,346776.94,5142.6,3048.0,1836.0,7241.0
2007-08-23,278.08,157.95,346532.12,4795.6,2502.0,259.0,5342.0
2007-08-24,414.05,262.69,346071.79,7106.6,1891.0,3782.0,9944.0
2007-08-25,287.72,272.55,345398.15,5117.4,4149.0,2191.0,5678.0
2007-08-26,328.73,299.39,345529.32,5778.2,1541.0,3645.0,5658.0
2007-08-27,302.93,299.08,345489.96,5315.4,2305.0,1229.0,6344.0
2007-08-28,249.25,181.11,344951.82,4314.4,1038.0,2468.0,5483.0
2007-08-29,187.0,175.43,346672.79,3282.6,957.0,562.0,4932.0
2007-08-30,300.61,191.05,346425.37,5190.2,3822.0,2580.0,4221.0
2007-08-31,319.96,187.26,345579.41,5455.4,1200.0,666.0,8738.0
2007-09-01,425.37,289.85,344672.27,7294.2,2497.0,569.0,9733.0
2007-09-02,415.62,231.6,345665.28,7224.8,3613.0,1617.0,8806.0
2007-09-03,259.73,188.42,345053.3,4508.2,621.0,2515.0,5323.0
2007-09-04,396.24,179.63,345109.92,6848.6,2928.0,3501.0,9821.0
2007-09-05,309.14,148.86,344373.35,5324.6,0.0,4144.0,6705.0
2007-09-06,225.37,172.03,344649.67,3963.2,0.0,3888.0,3461.0
2007-09-07,334.12,181.74,344205.65,5770.4,3632.0,551.0,9388.0
2007-09-08,367.44,186.33,345211.84,6324.4,3339.0,1801.0,9164.0
2007-09-09,419.88,209.15,344047.89,7277.8,2184.0,4438.0,9233.0
2007-09-10,279.34,177.5,344719.67,4843.8,935.0,595.0,5613.0
2007-09-11,245.89,151.76,345703.67,4251.0,943.0,550.0,5792.0
2007-09-12,321.94,171.79,345621.68,5558.4,0.0,3217.0,7755.0
2007-09-13,286.6,165.96,344606.16,4988.8,1175.0,2523.0,3853.0
2007-09-14,283.87,183.13,344594.73,4960.4,901.0,676.0,5804.0
2007-09-15,273.83,184.47,345602.84,4720.6,0.0,1449.0,6464.0
2007-09-16,413.06,192.35,344967.07,7151.4,3118.0,3064.0,9310.0
2007-09-17,365.3,202.31,344469.31,6355.4,6651.0,926.0,6279.0
2007-09-18,291.88,147.13,343095.37,5058.4,1888.0,2029.0,5425.0
2007-09-19,324.67,151.79,346039.5,5592.0,0.0,2743.0,7937.0
2007-09-20,313.88,132.91,345189.58,5358.2,1056.0,489.0,9996.0
2007-09-21,309.7,152.83,344709.31,5375.0,3130.0,2745.0,6316.0
2007-09-22,294.04,183.43,344855.57,5061.8,944.0,1311.0,7688.0
2007-09-23,354.49,242.97,344880.62,6163.2,2831.0,1929.0,7382.0
2007-09-24,338.63,197.62,343584.87,5873.4,929.0,3935.0,7955.0
2007-09-25,441.09,130.08,342863.44,7497.2,916.0,2253.0,9820.0
2007-09-26,455.57,168.63,344292.53,7732.2,1058.0,9415.0,5661.0
2007-09-27,348.15,150.71,344976.56,5872.0,1066.0,643.0,7324.0
2007-09-28,420.12,222.72,344825.9,7191.6,996.0,3722.0,9952.0
2007-09-29,574.13,182.12,344361.76,9782.2,4085.0,7457.0,8190.0
2007-09-30,379.07,163.59,345693.29,6411.6,1405.0,582.0,10225.0
2007-10-01,430.23,146.73,344505.48,7306.2,1507.0,6622.0,5960.0
2007-10-02,549.72,161.83,343431.06,9322.6,508.0,8022.0,12815.0
2007-10-03,320.11,157.74,344535.94,5472.0,979.0,5024.0,3692.0
2007-10-04,379.61,138.45,344455.31,6414.6,2400.0,444.0,9710.0
2007-10-05,348.52,150.64,343911.04,5889.2,0.0,351.0,9425.0
2007-10-06,439.06,186.19,343268.23,7441.4,4840.0,347.0,9666.0
2007-10-07,526.53,153.18,343909.84,8939.4,2498.0,8255.0,10886.0
2007-10-08,273.81,121.9,344299.03,4652.8,0.0,420.0,5082.0
2007-10-09,421.96,159.8,343985.97,7174.6,2034.0,2147.0,9290.0
2007-10-10,291.74,132.75,344766.47,5023.6,1863.0,2117.0,3345.0
2007-10-11,433.11,153.11,343359.58,7357.0,2630.0,414.0,7806.0
2007-10-12,478.63,137.98,343413.09,8160.6,1020.0,5028.0,11659.0
2007-10-13,481.68,125.2,343822.19,8209.0,969.0,3799.0,8463.0
2007-10-14,515.31,150.05,344305.49,8753.4,2930.0,7494.0,7126.0
2007-10-15,316.58,118.18,344581.5,5359.6,1061.0,339.0,7654.0
2007-10-16,491.11,185.41,343962.17,8385.4,0.0,7871.0,9876.0
2007-10-17,394.23,136.4,344436.67,6677.2,1065.0,453.0,8968.0
2007-10-18,379.63,122.5,345312.41,6384.6,1162.0,317.0,9864.0
2007-10-19,521.41,121.48,345099.13,8788.6,1299.0,3124.0,11648.0
2007-10-20,415.06,139.54,348227.74,6933.2,2363.0,296.0,13225.0
2007-10-21,485.48,154.03,347746.67,8210.4,3712.0,4357.0,7313.0
2007-10-22,413.22,116.41,346385.38,6920.4,0.0,299.0,13027.0
2007-10-23,488.66,127.48,346891.41,8214.0,1067.0,5186.0,10680.0
2007-10-24,466.41,146.78,346763.91,7881.4,4459.0,364.0,9115.0
2007-10-25,463.48,132.2,346280.59,7795.6,1478.0,2433.0,7385.0
2007-10-26,359.39,109.68,346580.43,6286.8,0.0,348.0,5766.0
2007-10-27,446.42,109.19,345889.74,7645.2,1374.0,4856.0,8949.0
2007-10-28,128.04,92.3,346847.12,2138.8,0.0,283.0,1765.0
2007-10-29,136.36,87.0,347318.36,2267.2,0.0,269.0,2749.0
2007-10-30,202.75,89.84,346501.33,3386.0,0.0,1935.0,4256.0
2007-10-31,320.8,107.2,346088.13,5389.0,0.0,4700.0,8915.0
2007-11-01,124.05,85.05,346951.3,2067.8,0.0,293.0,1991.0
2007-11-02,360.9,93.36,344662.54,6051.8,1346.0,2115.0,12245.0
2007-11-03,123.14,88.12,345874.33,2065.4,0.0,282.0,1936.0
2007-11-04,371.42,138.8,345895.95,6313.0,0.0,4387.0,7068.0
2007-11-05,375.15,131.35,345109.12,6330.6,1265.0,397.0,6583.0
2007-11-06,520.59,200.53,343730.82,8855.8,1105.0,5515.0,10690.0
2007-11-07,461.19,193.52,344973.47,7892.8,5042.0,301.0,6374.0
2007-11-08,375.26,134.7,346683.81,6386.4,1715.0,314.0,6500.0
2007-11-09,542.81,113.24,343750.23,9168.8,0.0,4573.0,15375.0
2007-11-10,652.9,237.65,344318.99,11098.0,3697.0,304.0,13767.0
2007-11-11,471.78,185.61,345974.78,7978.4,3445.0,320.0,6024.0
2007-11-12,539.04,137.47,345348.85,9031.6,1018.0,4165.0,13281.0
2007-11-13,553.6,140.95,347217.09,9293.0,978.0,4933.0,11076.0
2007-11-14,512.0,141.59,345522.28,8554.6,1055.0,295.0,16345.0
2007-11-15,373.0,133.07,345578.39,6330.8,1606.0,571.0,7503.0
2007-11-16,577.44,123.98,347016.26,9674.0,1991.0,4660.0,13564.0
2007-11-17,652.52,168.03,346468.93,10942.4,2588.0,2199.0,14990.0
2007-11-18,545.96,161.76,348855.06,9140.6,5201.0,2097.0,7066.0
2007-11-19,430.91,112.03,349583.55,7209.0,1089.0,253.0,10750.0
2007-11-20,523.96,124.83,347527.91,8770.2,1015.0,3954.0,11026.0
2007-11-21,437.96,131.48,347513.84,7360.4,1139.0,549.0,9455.0
2007-11-22,483.09,143.11,347853.67,8145.0,2867.0,297.0,9001.0
2007-11-23,630.65,138.91,346640.21,10570.6,2168.0,6181.0,13685.0
2007-11-24,474.76,150.51,348195.95,7938.2,1573.0,4131.0,13451.0
2007-11-25,348.9,122.78,349432.07,5884.8,3556.0,279.0,5678.0
2007-11-26,392.43,117.05,347207.75,6626.0,1088.0,288.0,8926.0
2007-11-27,700.25,139.99,347502.38,11745.0,1063.0,11020.0,15111.0
2007-11-28,411.24,115.44,349768.52,6876.8,1182.0,769.0,7810.0
2007-11-29,429.81,118.71,349289.97,7221.6,2031.0,283.0,8818.0
2007-11-30,582.93,147.28,350622.36,9730.4,0.0,7941.0,13601.0
2007-12-01,783.74,288.89,345983.16,13235.8,9356.0,353.0,17847.0
2007-12-02,736.55,325.08,346651.21,12410.8,2090.0,6915.0,10636.0
2007-12-03,440.52,131.91,347154.61,7438.4,1141.0,299.0,10428.0
2007-12-04,516.91,145.02,347811.81,8705.0,1012.0,5828.0,8561.0
2007-12-05,538.28,178.4,347368.15,9141.4,3422.0,295.0,10919.0
2007-12-06,621.98,161.94,345182.54,10566.6,4751.0,318.0,11908.0
