node_id,node_col_rank,father_node_name,node_name,description
49,3,设计工具EDA,逻辑设计工具,逻辑设计工具是用于设计数字电路和集成电路的软件工具，它们提供了各种工具和资源来帮助工程师设计和验证电路的正确性和性能。
50,3,设计工具EDA,电路设计工具,电路设计工具是一种软件，可用于设计电路板、芯片、系统级芯片（SoC）和其他电子设备。
51,3,设计工具EDA,布局设计工具,布局设计工具是用于集成电路设计的软件工具之一，它们可以帮助设计师将电路元件按照特定的规则和标准布置在芯片上，以实现最佳的性能和可靠性。
52,3,设计工具EDA,仿真工具,仿真工具是指使用计算机软件来模拟和分析某个系统、过程或现象的工具。
53,3,设计工具EDA,嵌入式软件开发工具,嵌入式软件开发工具是指用于嵌入式系统开发的软件工具
54,3,IC生产设备,光刻机,光刻机（Photolithography System）是半导体工艺中最为关键的设备之一，用于将芯片设计中的图形投射到硅片表面上，形成微米级别的图形结构，从而实现集成电路上的电子元器件制造。
55,3,IC生产设备,清洗机,清洗机是一种专门用于清洗和处理工件表面的设备。
56,3,IC生产设备,离子注入机,离子注入机是半导体制造中使用的一种工艺设备，用于向半导体材料中注入离子，从而改变其电学性质，以实现半导体器件的制造。
57,3,IC生产设备,镀膜设备,镀膜设备是用于在半导体材料表面上涂覆一层金属或非金属材料的设备。
58,3,IC生产设备,刻蚀机,刻蚀机是一种半导体加工设备，用于在半导体晶片表面进行蚀刻。它使用化学或物理方法去除表面层，从而制造出所需的结构或图案。
59,3,IC生产设备,晶圆贴合机,晶圆贴合机（Wafer bonding machine）是一种用于将两个或多个晶圆粘合在一起的设备，
60,3,IC生产设备,扩散炉,扩散炉（Diffusion Furnace）是半导体制造中的一种设备，用于在硅片表面扩散掺杂物质，改变硅片的导电性质，形成PN结构和其他控制结构，从而实现芯片上的电子器件的制造。
61,3,IC生产设备,退火炉,退火炉是一种用于退火处理的设备，主要用于提高材料的热稳定性和电学性能。
62,3,IC生产设备,CMP抛光机,CMP抛光机是一种高精度的表面处理设备，用于半导体工业中化学机械抛光（CMP）的制程，常用于平坦化硅片、玻璃基板、光学玻璃、蓝宝石、氮化硅等材料表面。
63,3,衬底生产设备,硅片切割机,硅片切割机是一种用于将硅晶圆分割成多个芯片的设备。
64,3,衬底生产设备,硅片研磨机,硅片研磨机是一种用于加工硅片表面的设备，通常用于制造集成电路、太阳能电池等应用中。
65,3,衬底生产设备,硅片倒角机,硅片倒角机（silicon wafer beveling machine）是一种用于将硅片的边缘倒角的设备。
66,3,衬底生产设备,单晶硅生长炉,单晶硅生长炉是用于生产单晶硅的设备，主要用于半导体制造、太阳能电池制造等领域。
67,3,封装测试设备,测试设备,测试设备是指用于测试、检测电子产品、元器件、材料等参数和性能的设备。
68,3,封装测试设备,封装设备,封装设备是用于半导体封装的设备。
69,3,数字电路设计,逻辑电路设计,逻辑电路设计是指通过逻辑门等基本逻辑器件的组合、布局和连线设计，实现特定逻辑功能的过程。
70,3,数字电路设计,存储芯片设计,存储芯片设计是指用于存储数据的集成电路芯片设计
71,3,数字电路设计,微处理器设计,微处理器设计是指设计和开发用于计算、控制和通信等用途的微处理器芯片。
72,3,模拟电路设计,信号链芯片设计,信号链芯片设计是一种集成电路设计，专门用于处理和传输信号，例如音频、视频、无线电等。
73,3,模拟电路设计,功率IC设计,功率IC设计是指针对高压、大电流和高功率等特性需求，利用半导体器件和电路设计技术，设计和制造用于高效能电源、驱动、控制和保护等领域的芯片。
74,3,模拟电路设计,射频器件设计,射频器件设计主要涉及到射频电路的设计和优化，包括信号放大、滤波、调制解调、混频、变频等功能。
75,3,系统级芯片设计（soc）,通信SOC设计,通信系统芯片（SOC）是用于实现通信系统所需功能的芯片。
76,3,系统级芯片设计（soc）,手机SOC设计,手机SOC设计是指为移动通信设备（如手机、平板电脑等）开发的集成电路系统。
77,3,系统级芯片设计（soc）,车规级SOC设计,车规级SOC（System-on-Chip）设计是一种高级别的芯片设计，旨在为汽车电子系统提供完整的解决方案。
78,3,系统级芯片设计（soc）,物联网SOC设计,物联网（IoT）SOC设计是一种特殊类型的系统级芯片设计，旨在满足物联网设备的需求。
79,3,系统级芯片设计（soc）,医疗健康SOC设计,医疗健康SOC（System-on-Chip）设计指的是针对医疗健康行业的芯片系统设计。
80,3,系统级芯片设计（soc）,其他SOC设计,
81,3,其他芯片设计,单片微波芯片设计,单片微波芯片设计是一种针对微波频段的集成电路设计，
82,3,集成电路封测,集成电路测试,集成电路测试是指对生产出来的集成电路芯片进行测试和筛选，确保芯片能够正常工作，并且符合产品规格要求。
83,3,集成电路封测,集成电路封装,集成电路封装是将制造好的芯片封装在外壳中，以保护芯片并提供电气和机械连接的过程。
84,3,集成电路（制造）,数字集成电路,数字集成电路是指由数字电路组成的集成电路，是现代电子技术中的重要组成部分。数字集成电路可以实现数字信号的处理、计算、存储和传输等功能，广泛应用于计算机、通信、控制等领域。
85,3,集成电路（制造）,模拟集成电路,模拟集成电路（Analog Integrated Circuit，简称Analog IC）是一种利用半导体技术制造的集成电路，主要用于处理模拟电信号，如声音、光线、温度等信号。
86,3,集成电路（制造）,系统级芯片（soc）,系统级芯片（SoC）是指在单个集成电路（IC）中集成了多个功能模块和系统组件，通常包括处理器核心、内存、存储器、通信接口和其他外设。
87,3,集成电路（制造）,其他芯片,
88,3,新能源,电力生产清洁能源,
89,3,新能源,新能源汽车,
90,3,新能源,太阳能应用产品,
91,3,信息通信,通信设备,通信设备是指用于传递信息、数据和信号的设备。通信设备种类繁多，包括电话、传真机、电报机、无线电、卫星通信、光纤通信、互联网等。
92,3,信息通信,航天设备,
93,3,IT产品,电脑存储与外围设备,
94,3,IT产品,办公设备,
95,3,IT产品,电脑cpu,
96,4,硅,硅棒,硅棒是指以高纯度多晶硅为原料，在高温下经拉伸而成的圆柱形硅单晶体材料。
97,4,硅,硅锭,硅锭是一种半导体材料，用于制造晶体管、太阳能电池等电子元件。
98,4,硅,硅粉,硅粉是指由纯度较高的单晶硅锭经过破碎、粉碎、筛分等工艺制得的粉末状物质。
99,4,硅,单晶硅,单晶硅（Monocrystalline Silicon）是指具有单一晶体结构的硅材料。它具有高纯度、高稳定性和良好的电学性能，广泛应用于半导体器件制造中，如晶体管、集成电路、太阳能电池等。
100,4,硅,多晶硅,多晶硅是一种半导体材料，由多个晶粒组成，与单晶硅相比，多晶硅的电学性能略差，但制备工艺相对简单，成本也相对较低，因此在一些应用中得到广泛使用，比如太阳能电池、平面显示器和CMOS传感器等。
101,4,光刻机,电子束光刻机,电子束光刻机（electron beam lithography machine）是一种用于制作微细结构的工具。其工作原理是通过控制电子束在感光材料上的照射位置和强度，将所需的微细结构直接写入感光材料中，形成图案。
102,4,光刻机,X射线光刻机,X射线光刻机是一种用于半导体工艺制造的高级光刻机器，使用X射线光源来照射光刻胶，将芯片图案投射到晶圆上。
103,4,清洗机,高压喷洗机（HPP）,高压喷洗机（HPP）是一种清洗设备，主要用于清洗工业制造中的零部件、设备和器具等。其工作原理是利用高压水流产生的冲击力和涡流作用，将污垢和杂质冲刷掉，从而达到清洗的效果。
104,4,清洗机,涡流清洗机（ECD）,涡流清洗机（ECD）是一种利用涡流原理进行清洗的机器设备。
105,4,清洗机,超声波清洗机,超声波清洗机是一种利用超声波高频振荡原理，使清洗液体产生剧烈的高速喷涌和微小气泡爆破作用，达到清洗和除污的设备。
106,4,离子注入机,高能量离子注入机,高能量离子注入机是一种用于将高能量离子注入到材料表面的设备。它通过向材料表面发射离子束，将离子注入到材料中，从而改变材料的性质和性能。
107,4,离子注入机,低能量离子注入机,低能量离子注入机是一种半导体加工设备，主要用于将离子注入半导体晶体中，用于改变材料的电学性质和化学性质，从而制作电子器件。
108,4,镀膜设备,物理气相沉积机（PVD）,"物理气相沉积机（Physical Vapor Deposition, PVD）是一种表面膜沉积技术，通过将固态材料加热并蒸发成气态，然后沉积在基板表面形成薄膜。"
109,4,镀膜设备,化学气相沉积机（CVD）,化学气相沉积机（CVD）是一种用于材料制备的设备，主要用于生产高质量的薄膜。它通过在高温下使气态的反应物质在基板表面沉积，形成所需的薄膜。
110,4,镀膜设备,原子层沉积机（ALD）,原子层沉积机（ALD）是一种薄膜沉积技术，能够通过分子层析和表面反应将一层层原子沉积在基底表面上，从而形成极为均匀和精细的薄膜结构。
111,4,刻蚀机,湿法蚀刻机,湿法蚀刻机（Wet Etching Machine）是一种用于制备微纳米器件的工具之一。
112,4,刻蚀机,干法蚀刻机,干法蚀刻机是一种利用化学气相沉积、物理气相沉积等方法在半导体芯片制造中进行细微加工的设备。
113,4,测试设备,芯片测试机,芯片测试机是一种用于测试集成电路芯片（IC）的设备。它可以测试芯片的功能、性能、电气参数等，并能识别任何缺陷。
114,4,测试设备,分选机,分选机通常是指对物料进行分类或筛选的设备，
115,4,测试设备,探针机台,探针机台是半导体测试设备中的一种，主要用于对芯片进行接触式测试。
116,4,测试设备,探针卡,探针卡（probe card）是半导体制造中的一种重要测试工具，用于将测试信号引入芯片，获取芯片的测试数据。
117,4,封装设备,划刻机,划刻机（scribe and break machine）是用于在晶圆上划刻并断开芯片的机器。
118,4,封装设备,贴片机,贴片机是一种用于电子元器件表面贴装的自动化机器。它可以将小型电子元器件，例如电阻器、电容器、晶体管、二极管等，快速准确地贴装到印刷电路板上。
119,4,封装设备,引线键合机,到芯片的金属引脚和封装基板的焊盘上，以建立电气连接
120,4,封装设备,减薄机,减薄机是一种用于对硅片进行薄化处理的设备。它通常使用机械或化学方法将硅片的厚度减少到所需的尺寸，以适应特定应用的要求。
121,4,封装设备,固晶机,固晶机（die bonder）是一种用于集成电路封装的设备，主要用于将芯片（die）粘贴到载体（substrate）上，并进行焊接或金线连接等操作。
122,4,集成电路封装,传统封装,传统的集成电路封装
123,4,集成电路封装,先进封装,传统的集成电路封装
124,4,集成电路封装,CIS封装,CIS（CMOS Image Sensor）是一种集成电路封装技术，用于制造数字相机、手机摄像头等图像传感器。
125,4,数字集成电路,逻辑电路,逻辑电路是一种基于数字电子学的电路，用于处理数字信号，它是一种将二进制输入信号转换为二进制输出信号的设备。逻辑电路由逻辑门（例如AND、OR、NOT等）组成，逻辑门按照不同的逻辑功能来处理输入信号，并输出相应的逻辑值（0或1）。
126,4,数字集成电路,存储芯片,存储芯片是一种集成电路芯片，用于存储和检索数字数据。
127,4,数字集成电路,微处理器,微处理器是一种由计算机芯片制成的中央处理器，通常被用于控制和执行计算机程序。
128,4,模拟集成电路,信号链芯片,信号链芯片是一种应用广泛的集成电路芯片，其主要功能是将模拟信号转换成数字信号或将数字信号转换成模拟信号，从而实现信号的采集、处理、转换和输出等功能。
129,4,模拟集成电路,功率IC,功率IC（Power IC）是一种专门用于管理和控制电力转换的集成电路。
130,4,模拟集成电路,射频器件,射频器件是指用于处理射频信号（高频信号）的器件，如放大器、滤波器、混频器、发射器、接收器等。
131,4,系统级芯片（soc）,通信SOC,通信系统芯片（SOC）是用于实现通信系统所需功能的芯片。
132,4,系统级芯片（soc）,手机SOC,手机SOC（System-on-Chip）是指一种将多种功能模块集成在一颗芯片上的系统级芯片。
133,4,系统级芯片（soc）,车规级SOC,“车规级SOC”指的是符合汽车电子行业标准和规范的系统级芯片（SOC），用于汽车电子系统的控制和数据处理。这类芯片需要具备高可靠性、高性能、低功耗、安全性等特点，以满足汽车电子领域对于芯片的严格要求。
134,4,系统级芯片（soc）,物联网SOC,物联网SOC（System-on-a-Chip）是指将处理器、存储器、通信接口、传感器接口、电源管理等功能模块全部集成在一个芯片上，以实现智能终端设备对于物联网的连接和智能化应用的处理。
135,4,系统级芯片（soc）,医疗健康SOC,医疗健康SOC是指专门用于医疗保健和健康监测领域的系统级芯片，通常集成了多种传感器、计算、通信、存储等功能，以实现精准的医疗监测和数据处理。
136,4,系统级芯片（soc）,其他SOC,
137,4,其他芯片,单片微波芯片MMIC,单片微波集成电路（MMIC）是一种高频电路，使用单个半导体晶体管或其他类型的有源器件来实现整个电路。
138,4,航天设备,航天器,
139,4,航天设备,卫星装备,
140,5,单晶硅,晶圆,晶圆是指在半导体芯片制造过程中，将单晶硅材料加工成圆片形状，然后在上面进行多个半导体芯片的制造的基础材料。
141,5,物理气相沉积机（PVD）,磁控溅射镀膜机,磁控溅射镀膜机（Magnetron Sputtering Deposition System）是一种常用于薄膜材料制备的设备。其原理是利用高速带电粒子（电子或离子）轰击材料靶（Target）表面，使得靶表面材料被剥离并沉积在衬底上形成薄膜。
142,5,物理气相沉积机（PVD）,电子束物理气相沉积机,电子束物理气相沉积机（Electron Beam Physical Vapor Deposition，EB-PVD）是一种用于制备高质量薄膜的先进表面处理技术。它是一种真空沉积技术，通过加热材料，将其转化为气态，然后通过电子束进行定向沉积，形成一层均匀的薄膜。
143,5,干法蚀刻机,反应离子束蚀刻机（RIE）,反应离子束蚀刻机（RIE）是一种常用的微纳加工设备，利用离子束对样品表面进行物理或化学蚀刻，用于制备微纳结构和器件。
144,5,干法蚀刻机,电感耦合等离子体蚀刻机（ICP-RIE）,电感耦合等离子体蚀刻机（Inductively Coupled Plasma Reactive Ion Etching，ICP-RIE）是一种常用于微电子器件制造的蚀刻设备，利用高能离子撞击材料表面进行加工。
145,5,传统封装,LGA封装,LGA封装是一种低成本、高密度、高速度、高频率的封装技术，全称为Land Grid Array，即“陆地网格阵列封装”，是一种基于表面贴装技术（SMT）的芯片封装形式。
146,5,传统封装,PGA封装,PGA（Pin Grid Array）封装是一种常见的集成电路封装形式，其特点是在芯片的底部，有许多的针脚（pin）排列成矩形网格状，并通过针脚与印刷电路板上的插座（socket）连接。
147,5,传统封装,BGA封装,BGA封装（Ball Grid Array）是一种常见的集成电路封装形式之一。它的主要特点是使用表面贴装技术，将芯片焊接在印刷电路板（PCB）上，通过一定的布线方式将芯片引出的引脚接触到球形焊点上，从而实现电气连接。
148,5,先进封装,SIP封装,SIP（System in Package）封装是一种将多个芯片、模块或其他元件集成在一起，组成一个完整系统的封装技术。
149,5,先进封装,TSV封装,TSV封装是指通过垂直穿透晶片的一系列微孔，将芯片内部和芯片之间的电路互相连接起来的一种封装方式。
150,5,先进封装,Flip Chip封装,Flip Chip封装是一种芯片封装技术，它通过将芯片的电极直接连接到印刷电路板（PCB）或衬底上的金属焊盘上，而不是通过金线进行连接。
151,5,先进封装,Embedded Die Packaging嵌入式封装,Embedded Die Packaging（EDP），也称嵌入式封装，是一种先将裸片（Die）直接封装进去，再封装成最终封装体的一种新型半导体封装技术。相比传统封装技术，EDP能够大大减小封装体积，提高信号传输速度，减少能量损耗和信号失真，因此被广泛应用于微电子领域。
152,5,先进封装,2.5D/3D封装,2.5D/3D封装是一种新型封装技术，相较于传统的单芯片封装方式，它可以将多个芯片或模块集成在一个封装体中，以提高整个系统的性能和功能密度。
153,5,先进封装,Bumpping封装,Bumping封装是一种集成电路封装技术，用于连接芯片和PCB板，通常应用于高性能处理器、GPU、FPGA等集成电路的封装。在这种封装技术中，金属球（bump）被放置在芯片的I/O引脚上，然后将芯片和PCB板通过这些金属球进行连接。这种封装方式具有较高的可靠性、较低的耦合电感和电阻、较短的信号传输路径等优点。
154,5,先进封装,FIWLP,FIWLP封装是一种新型的2.5D/3D封装技术，全称为Fan-In Wafer Level Packaging。它是一种基于晶圆级别的先进封装技术，可以将多个芯片封装在一个封装体内，以实现高性能、高可靠性的系统级解决方案。
155,5,先进封装,FOWLP,FOWLP封装是一种先进的芯片封装技术，全称为Fan-Out Wafer Level Packaging。与传统封装技术相比，FOWLP封装具有更高的集成度、更小的封装尺寸、更低的功耗和更低的成本。
156,5,逻辑电路,ASIC,ASIC是Application Specific Integrated Circuit的缩写，指的是专用集成电路。
157,5,逻辑电路,基带芯片,基带芯片是一种内置于移动通信设备中的芯片，用于处理调制解调、信号调理、信号处理等基础通信功能。
158,5,逻辑电路,固定逻辑器件,固定逻辑器件（Fixed Logic Device）是一种已经编程的逻辑芯片，其内部电路和功能是固定不变的。
159,5,逻辑电路,可编程逻辑器件（PLD）,可编程逻辑器件（Programmable Logic Device，PLD）是一类集成电路器件，可以按照用户的需要编程实现特定的逻辑功能。
160,5,逻辑电路,其他数字电路,
161,5,存储芯片,易失性存储芯片,易失性存储芯片（Volatile Memory Chip）是一种在断电或掉电后会丢失其存储数据的存储器件，例如动态随机存取存储器（DRAM）、静态随机存取存储器（SRAM）等。
162,5,存储芯片,非易失性存储芯片,非易失性存储芯片（Non-Volatile Memory，NVM）是指不需要外部电源维持存储信息的存储器件，其存储的信息在断电或重启后仍然能够保持。
163,5,微处理器,NPU,NPU全称为神经网络处理器（Neural Network Processor Unit），是一种针对人工智能（AI）应用而设计的专用芯片，能够加速神经网络的训练和推断过程，提高人工智能应用的性能和效率。
164,5,微处理器,数字信号处理芯片（DSP）,数字信号处理芯片（DSP）是一种专门用于数字信号处理的微处理器。与通用微处理器相比，DSP更擅长高速、实时的数字信号处理。
165,5,微处理器,图像信号处理芯片（ISP）,图像信号处理芯片（Image Signal Processor，ISP）是一种专门用于图像处理的芯片。
166,5,微处理器,微控制器（MCU）,微控制器（Microcontroller Unit，MCU）是一种集成电路，它包含了一个或多个中央处理器（CPU）、存储器（ROM、RAM）和输入/输出接口（I/O）等基本部件，用于控制特定的系统或设备。
167,5,微处理器,人工智能处理器（APU）,人工智能处理器（APU）是一种专门用于进行人工智能计算的处理器。它通常结合了CPU、GPU、FPGA、DSP等多种处理器架构，
168,5,微处理器,通用处理器,通用处理器是一种能够执行各种通用计算任务的中央处理器（CPU），可以被用于不同的应用领域，如个人计算机、服务器、手机、平板电脑、智能家居等等。
169,5,微处理器,TPU,TPU是Tensor Processing Unit的缩写，是由谷歌设计的专用于人工智能计算的ASIC芯片，用于加速深度学习训练和推理任务。
170,5,微处理器,DCU,DCU代表“Data Control Unit”（数据控制单元），是计算机系统中的一个单元，通常由微处理器、存储器和接口组成，用于处理数据和控制计算机系统中的外设。DCU微处理器是一种专为控制应用设计的微处理器，能够有效地实现对各种控制任务的处理和管理。
171,5,信号链芯片,比较器,比较器（Comparator）是一种基本的模拟电路元件，它的功能是比较两个输入信号的大小，输出一个高或低电平的数字信号。
172,5,信号链芯片,放大器,放大器（Amplifier）是一种电子元件或电路，可以将输入的电信号（如声音、视频、数据信号等）放大到所需的电平或功率。
173,5,信号链芯片,接口芯片,接口芯片是用于处理不同设备之间的通信协议和电气信号的芯片，常见的接口芯片有USB接口芯片、以太网接口芯片、SPI接口芯片、I2C接口芯片、UART接口芯片等等。
174,5,信号链芯片,数模转换器,数模转换器（DAC）是一种将数字信号转换成模拟信号的电子元件。它可以将数字信号转换为与之对应的模拟电压或电流输出，常用于音频、视频、通信、自动控制等领域中。
175,5,信号链芯片,模数转换器,模数转换器（ADC）是一种电子器件，用于将模拟信号转换为数字信号。它将输入的模拟信号转换为数字形式，以便数字电路可以对其进行处理。
176,5,功率IC,电源管理芯片,电源管理芯片（Power Management IC，简称PMIC）是一种集成电路芯片，专门用于管理和控制电源的转换、分配和保护等功能。
177,5,功率IC,驱动芯片,驱动芯片是一种将信号转换成物理运动的器件，可以控制不同类型的电机、灯光和其他设备的运行。
178,5,射频器件,射频开关,射频开关（RF switch）是一种用于射频信号传输和处理的电子元件，其主要功能是在电路中切换或连接射频信号。
179,5,射频器件,射频功率放大器,射频功率放大器（RF power amplifier）是一种能将输入的低功率射频信号放大为高功率射频信号的电路元件。
180,5,射频器件,基站射频器件,基站射频器件是用于移动通信基站的无线射频部分的集成电路芯片，其功能包括接收和发射无线信号、信号调制解调、功率放大等。
181,5,射频器件,谐振器,谐振器是一种被广泛应用于无线电通信、雷达、微波电路、振荡电路等领域中的电路元件，它可以通过选择合适的电容和电感组合，在特定频率范围内实现电路的谐振。
182,5,射频器件,射频滤波器,射频滤波器是一种用于射频电路的电子元件，可以选择性地通过或抑制特定频率的信号，同时保留其他频率的信号。
183,5,射频器件,振荡器,振荡器是一种电子元件，其主要作用是产生电信号的周期性波形。振荡器通过反馈电路，在某些特定条件下，使得信号在电路内反复振荡，从而产生一种稳定的周期性波形。
184,5,射频器件,调谐器,调谐器（tuner）是一种用于调节无线电或电视接收器以接收不同频率信号的电子器件。它可以通过改变电容或电感来改变电路的谐振频率，使其能够接收特定的频率信号。
185,5,射频器件,手机射频器件,手机射频器件是指用于移动通信设备中的无线射频信号处理的器件，通常包括功率放大器、低噪声放大器、射频开关、射频滤波器等。
186,5,射频器件,雷达T/R芯片,雷达 T/R 芯片，全称为发射/接收芯片（Transmit/Receive chip），是一种用于雷达系统的射频集成电路。
187,5,通信SOC,无线通信芯片,无线通信芯片是一种集成了射频（RF）收发器、基带处理器、电源管理、存储器和接口等模块的集成电路芯片，用于实现无线通信。无线通信芯片的种类很多，如蓝牙芯片、Wi-Fi芯片、移动通信芯片（GSM、CDMA、LTE等）等。
188,5,通信SOC,有线通信芯片,有线通信芯片是用于有线通信系统中的电子器件，用于实现有线通信。其应用范围广泛，包括计算机网络、通信设备、音视频设备等。
189,5,物联网SOC,音频信号处理芯片,音频信号处理芯片（Audio Signal Processor）是一种专门用于处理音频信号的集成电路芯片，能够对音频信号进行各种处理，如音量控制、音效处理、滤波、混响等。
190,5,物联网SOC,触控芯片,触控芯片（Touch Controller Chip）是一种用于电容式触控屏幕的芯片，它能够检测屏幕上触摸点的坐标位置和手指的移动速度等信息，将这些信息转换为数字信号并传递给主处理器，从而实现屏幕的交互操作。
191,5,物联网SOC,指纹识别芯片,指纹识别芯片是一种集成了指纹采集、识别处理和安全授权等功能的集成电路芯片。它通过读取人体指纹信息来进行身份认证、数据加密、门禁控制等应用场景。
192,5,物联网SOC,视频编解码芯片,视频编解码芯片是一种专门用于视频信号编码和解码的芯片。
